2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.c.CoreContainer Creating SolrCore 'telligent-conversations' using configuration from configset C:\CommunityLocal\Search\data\home\configsets\telligent-conversations-d4484ea, trusted=true
2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.699 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.715 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.715 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.731 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.731 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.s.IndexSchema Loaded schema Telligent/1.7 with uniqueid field id
2024-09-15 03:36:11.746 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.746 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.746 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.746 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.762 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.762 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.777 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.777 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.777 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.793 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.793 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.RestManager Added observer of type org.apache.solr.rest.schema.analysis.ManagedSynonymGraphFilterFactory to existing ManagedResource /schema/analysis/synonyms/en
2024-09-15 03:36:11.793 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.c.CoreContainer Creating SolrCore 'telligent-content' using configuration from configset C:\CommunityLocal\Search\data\home\configsets\telligent-content-d4484ea, trusted=true
2024-09-15 03:36:11.856 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\CommunityLocal\Search\data\home\telligent-content], dataDir=[C:\CommunityLocal\Search\data\home\telligent-content\data\]
2024-09-15 03:36:11.856 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.c.SolrCore Opening new SolrCore at [C:\CommunityLocal\Search\data\home\telligent-conversations], dataDir=[C:\CommunityLocal\Search\data\home\telligent-conversations\data\]
2024-09-15 03:36:11.871 WARN  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.D.s.CircuitBreakerManager Solr loaded a deprecated plugin/analysis class [solr.CircuitBreakerManager]. Please consult documentation how to replace it accordingly.
2024-09-15 03:36:11.871 WARN  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.c.CircuitBreakerManager CircuitBreakerManager is deprecated. Use individual Circuit Breakers instead
2024-09-15 03:36:11.871 WARN  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.c.CircuitBreakerManager CircuitBreakerManager is deprecated. Use individual Circuit Breakers instead
2024-09-15 03:36:11.871 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.c.CircuitBreakerRegistry Registered circuit breaker CircuitBreakerManager for request type(s) QUERY
2024-09-15 03:36:11.871 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.c.CircuitBreakerRegistry Registered circuit breaker CircuitBreakerManager for request type(s) QUERY
2024-09-15 03:36:12.356 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-09-15 03:36:12.684 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@3122b117{solr-jetty-context.xml,/solr,file:///C:/CommunityLocal/Search/server/solr-webapp/webapp/,AVAILABLE}{C:\CommunityLocal\Search\server/solr-webapp/webapp}
2024-09-15 03:36:12.715 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened C:\CommunityLocal\Search\data\logs\2024_09_15.request.log
2024-09-15 03:36:12.731 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@e72dba7{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-09-15 03:36:12.731 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@4a8b5227{STARTING}[10.0.19,sto=0] @22177ms
2024-09-15 03:36:13.622 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-09-15 03:36:13.668 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-09-15 03:36:13.668 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-09-15 03:36:13.700 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-09-15 03:36:13.715 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-09-15 03:36:13.715 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-09-15 03:36:13.715 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 30000ms; if 20000 uncommitted docs; 
2024-09-15 03:36:13.715 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2024-09-15 03:36:13.731 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 30000ms; if 20000 uncommitted docs; 
2024-09-15 03:36:13.731 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2024-09-15 03:36:14.418 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-09-15 03:36:14.418 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-09-15 03:36:14.418 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: C:\CommunityLocal\Search\data\home\configsets\telligent-conversations-d4484ea\conf
2024-09-15 03:36:14.418 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: C:\CommunityLocal\Search\data\home\configsets\telligent-content-d4484ea\conf
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.ManagedResourceStorage Loaded LinkedHashMap at path _schema_analysis_synonyms_en.json using file:dir=C:\CommunityLocal\Search\data\home\configsets\telligent-conversations-d4484ea\conf
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.ManagedResourceStorage Loaded LinkedHashMap at path _schema_analysis_synonyms_en.json using file:dir=C:\CommunityLocal\Search\data\home\configsets\telligent-content-d4484ea\conf
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.ManagedResource Loaded initArgs {ignoreCase=true} for /schema/analysis/synonyms/en
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.ManagedResource Loaded initArgs {ignoreCase=true} for /schema/analysis/synonyms/en
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.s.a.ManagedSynonymGraphFilterFactory Loaded 0 synonym mappings for /schema/analysis/synonyms/en
2024-09-15 03:36:14.434 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.s.a.ManagedSynonymGraphFilterFactory Loaded 0 synonym mappings for /schema/analysis/synonyms/en
2024-09-15 03:36:14.450 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.r.ManagedResource Notified 3 observers of /schema/analysis/synonyms/en
2024-09-15 03:36:14.450 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.r.ManagedResource Notified 11 observers of /schema/analysis/synonyms/en
2024-09-15 03:36:14.497 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:telligent-content t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=spellcheck, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01}
2024-09-15 03:36:14.497 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:telligent-conversations t:] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=message, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxQueryFrequency=0.01}
